TimeUTC,timestampInMs,requestPath,requestMethod,requestQueryString,responseStatusCode,requestId,requestUserAgent,level,environment,branch,vercelCache,type,function,host,deploymentDomain,deploymentId,durationMs,region,maxMemoryUsed,memorySize,message,projectId,traceId,sessionId,invocationId,instanceId,concurrency
2/1/2026 5:45,1.76992E+12,techsidechats-c6qu0m2tf-chris-solario-s-projects.vercel.app/,GET,,200,7tktw-1769924750789-acfb7bce719b,vercel-favicon/1.0,,production,main,HIT,static,/,techsidechats-c6qu0m2tf-chris-solario-s-projects.vercel.app,techsidechats-c6qu0m2tf-chris-solario-s-projects.vercel.app,dpl_3zaGCy9hjuRJNBSU4LU6K9t2vzg2,16,sfo1,,,,prj_Js2lo2gmYf9Z64B1lLz4T8IbtbvF,,,,,
2/1/2026 5:45,1.76992E+12,techsidechats.vercel.app/api/admin/articles,PUT,,500,gk49r-1769924710163-fb355eabd5e6,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0",error,production,main,MISS,function,/api/admin/articles,techsidechats.vercel.app,techsidechats.vercel.app,dpl_3zaGCy9hjuRJNBSU4LU6K9t2vzg2,,,,,"Error updating article: Error: Vercel Blob: This blob already exists, use `allowOverwrite: true` if you want to overwrite it. Or `addRandomSuffix: true` to generate a unique filename. Read more about this error in our documentation: https://vercel.link/blob-allow-overwrite
    at ok (.next/server/chunks/[root-of-the-server]__91a92e9d._.js:35:179654)
    at async (.next/server/chunks/[root-of-the-server]__91a92e9d._.js:35:180772)
    at async oF (.next/server/chunks/[root-of-the-server]__91a92e9d._.js:35:180119)
    at async oZ.allowedOptions (.next/server/chunks/[root-of-the-server]__91a92e9d._.js:35:189497)
    at async o7 (.next/server/chunks/[root-of-the-server]__91a92e9d._.js:35:191707)
    at async A (.next/server/chunks/[root-of-the-server]__7640d220._.js:1:3961)
    at async u (.next/server/chunks/[root-of-the-server]__7640d220._.js:1:7786)",prj_Js2lo2gmYf9Z64B1lLz4T8IbtbvF,,,,,
2/1/2026 5:45,1.76992E+12,techsidechats.vercel.app/api/admin/articles,PUT,,500,gk49r-1769924710163-fb355eabd5e6,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0",,production,main,MISS,function,/api/admin/articles,techsidechats.vercel.app,techsidechats.vercel.app,dpl_3zaGCy9hjuRJNBSU4LU6K9t2vzg2,393,iad1,290,2048,,prj_Js2lo2gmYf9Z64B1lLz4T8IbtbvF,,,01KGBVQKVFXAZ1JXR01T0X0VBH,PexSULvJLJMM,1
2/1/2026 5:45,1.76992E+12,techsidechats.vercel.app/api/admin/articles,GET,,200,c52xp-1769924706332-02a35f547fa5,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0",,production,main,MISS,function,/api/admin/articles,techsidechats.vercel.app,techsidechats-c6qu0m2tf-chris-solario-s-projects.vercel.app,dpl_3zaGCy9hjuRJNBSU4LU6K9t2vzg2,592,iad1,290,2048,,prj_Js2lo2gmYf9Z64B1lLz4T8IbtbvF,,,01KGBVQG20XDGC0RKKM9ZF62SV,PexSULvJLJMM,1
2/1/2026 5:45,1.76992E+12,techsidechats.vercel.app/,GET,_rsc=m0mb1,304,tw778-1769924705484-98d2053f0511,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0",,production,main,HIT,static,/index.segments/_head.segment,techsidechats.vercel.app,techsidechats-c6qu0m2tf-chris-solario-s-projects.vercel.app,dpl_3zaGCy9hjuRJNBSU4LU6K9t2vzg2,13,pdx1,,,,prj_Js2lo2gmYf9Z64B1lLz4T8IbtbvF,,,,,
2/1/2026 5:45,1.76992E+12,techsidechats.vercel.app/,GET,_rsc=444lg,304,lxn2d-1769924705484-1ef1086fbef5,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0",,production,main,HIT,static,/index.segments/_index.segment,techsidechats.vercel.app,techsidechats-c6qu0m2tf-chris-solario-s-projects.vercel.app,dpl_3zaGCy9hjuRJNBSU4LU6K9t2vzg2,19,pdx1,,,,prj_Js2lo2gmYf9Z64B1lLz4T8IbtbvF,,,,,
2/1/2026 5:45,1.76992E+12,techsidechats.vercel.app/,GET,_rsc=941a9,304,f8sz2-1769924705484-3321174882b9,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0",,production,main,HIT,static,/index.segments/__PAGE__.segment,techsidechats.vercel.app,techsidechats-c6qu0m2tf-chris-solario-s-projects.vercel.app,dpl_3zaGCy9hjuRJNBSU4LU6K9t2vzg2,19,pdx1,,,,prj_Js2lo2gmYf9Z64B1lLz4T8IbtbvF,,,,,
2/1/2026 5:45,1.76992E+12,techsidechats.vercel.app/,GET,_rsc=17qrm,304,lxn2d-1769924705399-65a22d2bbad1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0",,production,main,HIT,static,/index.segments/_tree.segment,techsidechats.vercel.app,techsidechats-c6qu0m2tf-chris-solario-s-projects.vercel.app,dpl_3zaGCy9hjuRJNBSU4LU6K9t2vzg2,25,pdx1,,,,prj_Js2lo2gmYf9Z64B1lLz4T8IbtbvF,,,,,
2/1/2026 5:45,1.76992E+12,techsidechats.vercel.app/api/admin/articles,GET,,200,c52xp-1769924705372-fe7cb058e709,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0",,production,main,MISS,function,/api/admin/articles,techsidechats.vercel.app,techsidechats-c6qu0m2tf-chris-solario-s-projects.vercel.app,dpl_3zaGCy9hjuRJNBSU4LU6K9t2vzg2,863,iad1,290,2048,,prj_Js2lo2gmYf9Z64B1lLz4T8IbtbvF,,,01KGBVQF45Q7YVQW03RMJ454YG,PexSULvJLJMM,1
2/1/2026 5:44,1.76992E+12,techsidechats.vercel.app/articles/welcome-to-techside-chats,GET,_rsc=x2e2r,304,z5hr9-1769924697042-1e7df6b3bcbb,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0",,production,main,HIT,static,/articles/welcome-to-techside-chats.segments/articles/$d$slug/__PAGE__.segment,techsidechats.vercel.app,techsidechats-c6qu0m2tf-chris-solario-s-projects.vercel.app,dpl_3zaGCy9hjuRJNBSU4LU6K9t2vzg2,3,pdx1,,,,prj_Js2lo2gmYf9Z64B1lLz4T8IbtbvF,,,,,
2/1/2026 5:44,1.76992E+12,techsidechats.vercel.app/articles/welcome-to-techside-chats,GET,_rsc=1pn8p,304,jwfbt-1769924697037-97405d46cf4d,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0",,production,main,HIT,static,/articles/welcome-to-techside-chats.segments/_head.segment,techsidechats.vercel.app,techsidechats-c6qu0m2tf-chris-solario-s-projects.vercel.app,dpl_3zaGCy9hjuRJNBSU4LU6K9t2vzg2,22,pdx1,,,,prj_Js2lo2gmYf9Z64B1lLz4T8IbtbvF,,,,,
2/1/2026 5:44,1.76992E+12,techsidechats.vercel.app/articles/welcome-to-techside-chats,GET,_rsc=1v02x,304,z5hr9-1769924697033-5933eb3a6ee2,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0",,production,main,HIT,static,/articles/welcome-to-techside-chats.segments/articles.segment,techsidechats.vercel.app,techsidechats-c6qu0m2tf-chris-solario-s-projects.vercel.app,dpl_3zaGCy9hjuRJNBSU4LU6K9t2vzg2,5,pdx1,,,,prj_Js2lo2gmYf9Z64B1lLz4T8IbtbvF,,,,,
2/1/2026 5:44,1.76992E+12,techsidechats.vercel.app/articles/welcome-to-techside-chats,GET,_rsc=pynej,304,74bpd-1769924697033-d8c0606dc292,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0",,production,main,HIT,static,/articles/welcome-to-techside-chats.segments/articles/$d$slug.segment,techsidechats.vercel.app,techsidechats-c6qu0m2tf-chris-solario-s-projects.vercel.app,dpl_3zaGCy9hjuRJNBSU4LU6K9t2vzg2,10,pdx1,,,,prj_Js2lo2gmYf9Z64B1lLz4T8IbtbvF,,,,,
2/1/2026 5:44,1.76992E+12,techsidechats.vercel.app/articles/welcome-to-techside-chats,GET,_rsc=1r34m,304,f8sz2-1769924696988-78bf2d1d6bd9,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0",,production,main,HIT,static,/articles/welcome-to-techside-chats.segments/_tree.segment,techsidechats.vercel.app,techsidechats-c6qu0m2tf-chris-solario-s-projects.vercel.app,dpl_3zaGCy9hjuRJNBSU4LU6K9t2vzg2,21,pdx1,,,,prj_Js2lo2gmYf9Z64B1lLz4T8IbtbvF,,,,,
2/1/2026 5:44,1.76992E+12,techsidechats.vercel.app/api/admin/articles,GET,,200,6htsh-1769924682507-b14767d19e6e,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0",,production,main,MISS,function,/api/admin/articles,techsidechats.vercel.app,techsidechats-c6qu0m2tf-chris-solario-s-projects.vercel.app,dpl_3zaGCy9hjuRJNBSU4LU6K9t2vzg2,349,iad1,289,2048,,prj_Js2lo2gmYf9Z64B1lLz4T8IbtbvF,,,01KGBVPRSE8Q9FK15SAQGZ1PNS,PexSULvJLJMM,1
2/1/2026 5:44,1.76992E+12,techsidechats.vercel.app/api/admin/articles,POST,,200,6htsh-1769924681834-eba75644418f,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0",,production,main,MISS,function,/api/admin/articles,techsidechats.vercel.app,techsidechats-c6qu0m2tf-chris-solario-s-projects.vercel.app,dpl_3zaGCy9hjuRJNBSU4LU6K9t2vzg2,515,iad1,289,2048,,prj_Js2lo2gmYf9Z64B1lLz4T8IbtbvF,,,01KGBVPR6C7BVA0FX9B6ZKSK5R,PexSULvJLJMM,1
2/1/2026 5:44,1.76992E+12,techsidechats.vercel.app/api/admin/preview,POST,,200,74bpd-1769924677172-054d8688187f,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0",,production,main,MISS,function,/api/admin/preview,techsidechats.vercel.app,techsidechats-c6qu0m2tf-chris-solario-s-projects.vercel.app,dpl_3zaGCy9hjuRJNBSU4LU6K9t2vzg2,39,iad1,298,2048,,prj_Js2lo2gmYf9Z64B1lLz4T8IbtbvF,,,01KGBVPKNB2JDYBPH4ARP0TS4W,PexSULvJLJMM,1
2/1/2026 5:44,1.76992E+12,techsidechats.vercel.app/api/admin/preview,POST,,200,298pf-1769924676872-caa0cd68befa,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0",,production,main,MISS,function,/api/admin/preview,techsidechats.vercel.app,techsidechats-c6qu0m2tf-chris-solario-s-projects.vercel.app,dpl_3zaGCy9hjuRJNBSU4LU6K9t2vzg2,61,iad1,295,2048,,prj_Js2lo2gmYf9Z64B1lLz4T8IbtbvF,,,01KGBVPKBE7SMH5G72EMPT3C4E,PexSULvJLJMM,1
2/1/2026 5:44,1.76992E+12,techsidechats.vercel.app/api/admin/articles,GET,,200,6htsh-1769924655158-3b1d60743768,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0",,production,main,MISS,function,/api/admin/articles,techsidechats.vercel.app,techsidechats-c6qu0m2tf-chris-solario-s-projects.vercel.app,dpl_3zaGCy9hjuRJNBSU4LU6K9t2vzg2,178,iad1,294,2048,,prj_Js2lo2gmYf9Z64B1lLz4T8IbtbvF,,,01KGBVNY30G07RGJ6DHZ1EAW1S,PexSULvJLJMM,1
2/1/2026 5:44,1.76992E+12,techsidechats.vercel.app/api/admin/articles,DELETE,,200,shzwb-1769924654725-3587c6a29e7e,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 Edg/144.0.0.0",,production,main,MISS,function,/api/admin/articles,techsidechats.vercel.app,techsidechats-c6qu0m2tf-chris-solario-s-projects.vercel.app,dpl_3zaGCy9hjuRJNBSU4LU6K9t2vzg2,340,iad1,294,2048,,prj_Js2lo2gmYf9Z64B1lLz4T8IbtbvF,,,01KGBVNXN6HDQHMCBFMNESA8JV,PexSULvJLJMM,1
